"YEAR","age_category","HIV_population","denominator"
"2013","50 - 54 years","Negative","2012179.4"
"2013","50 - 54 years","Positive"," 351469.6"
"2013","55 - 59 years","Negative","1692553.3"
"2013","55 - 59 years","Positive"," 201004.7"
"2013","60 - 64 years","Negative","1348395.64"
"2013","60 - 64 years","Positive","  97332.36"
"2013","65 - 69 years","Negative","981152.82"
"2013","65 - 69 years","Positive"," 37164.58"
"2013","70 - 74 years","Negative","742302.32"
"2013","70 - 74 years","Positive"," 12174.98"
"2013","75 - 79 years","Negative","525385.472"
"2013","75 - 79 years","Positive","  3493.528"
"2013","80 - 84 years","Negative","328028.8459"
"2013","80 - 84 years","Positive","   833.7541"
"2013","85 - 89 years","Negative","164416.6682"
"2013","85 - 89 years","Positive","   184.9218"
"2013","90+ years","Negative","73504.73169"
"2013","90+ years","Positive","   42.36831"
"2014","0 years","Negative","1146211.595"
"2014","0 years","Positive","   9974.405"
"2014","1 years","Negative","1121390"
"2014","1 years","Positive","  15162"
"2014","2 years","Negative","1103406.48"
"2014","2 years","Positive","  17843.52"
"2014","3 years","Negative","1084127.86"
"2014","3 years","Positive","  19101.14"
"2014","4 years","Negative","1070068.83"
"2014","4 years","Positive","  22464.17"
"2014","5 - 9 years","Negative","5098867.2"
"2014","5 - 9 years","Positive"," 147701.8"
"2014","10 - 14 years","Negative","4331350.7"
"2014","10 - 14 years","Positive"," 132684.3"
"2014","15 - 19 years","Negative","4550972.6"
"2014","15 - 19 years","Positive"," 185292.4"
"2014","20 - 24 years","Negative","4578100.1"
"2014","20 - 24 years","Positive"," 574735.9"
"2014","25 - 29 years","Negative","4276849"
"2014","25 - 29 years","Positive","1074840"
"2014","30 - 34 years","Negative","3376800"
"2014","30 - 34 years","Positive","1291478"
"2014","35 - 39 years","Negative","2679929"
"2014","35 - 39 years","Positive","1093154"
"2014","40 - 44 years","Negative","2434772.1"
"2014","40 - 44 years","Positive"," 817203.9"
"2014","45 - 49 years","Negative","2211919.6"
"2014","45 - 49 years","Positive"," 567821.4"
"2014","50 - 54 years","Negative","2040021.7"
"2014","50 - 54 years","Positive"," 385508.3"
"2014","55 - 59 years","Negative","1731712.4"
"2014","55 - 59 years","Positive"," 226054.6"
"2014","60 - 64 years","Negative","1386181.1"
"2014","60 - 64 years","Positive"," 112699.9"
"2014","65 - 69 years","Negative","1023373.55"
"2014","65 - 69 years","Positive","  45097.35"
"2014","70 - 74 years","Negative","741059.89"
"2014","70 - 74 years","Positive"," 14582.21"
"2014","75 - 79 years","Negative","541861.051"
"2014","75 - 79 years","Positive","  4362.049"
"2014","80 - 84 years","Negative","329985.548"
"2014","80 - 84 years","Positive","  1011.752"
"2014","85 - 89 years","Negative","172558.6626"
"2014","85 - 89 years","Positive","   224.5574"
"2014","90+ years","Negative","74132.21025"
"2014","90+ years","Positive","   46.08975"
"2015","0 years","Negative","1145665.098"
"2015","0 years","Positive","   7730.902"
"2015","1 years","Negative","1128817.85"
"2015","1 years","Positive","  13937.15"
"2015","2 years","Negative","1113711.38"
"2015","2 years","Positive","  17118.62"
"2015","3 years","Negative","1098080.47"
"2015","3 years","Positive","  18048.53"
"2015","4 years","Negative","1079544.26"
"2015","4 years","Positive","  18865.74"
"2015","5 - 9 years","Negative","5203907.9"
"2015","5 - 9 years","Positive"," 137914.1"
"2015","10 - 14 years","Negative","4420136.2"
"2015","10 - 14 years","Positive"," 138883.8"
"2015","15 - 19 years","Negative","4490733.8"
"2015","15 - 19 years","Positive"," 191383.2"
"2015","20 - 24 years","Negative","4548151.8"
"2015","20 - 24 years","Positive"," 549077.2"
"2015","25 - 29 years","Negative","4333992"
"2015","25 - 29 years","Positive","1031111"
"2015","30 - 34 years","Negative","3542947"
"2015","30 - 34 years","Positive","1318680"
"2015","35 - 39 years","Negative","2720237"
"2015","35 - 39 years","Positive","1149901"
"2015","40 - 44 years","Negative","2467546.6"
"2015","40 - 44 years","Positive"," 880099.4"
"2015","45 - 49 years","Negative","2209804.6"
"2015","45 - 49 years","Positive"," 607809.4"
"2015","50 - 54 years","Negative","2062422.8"
"2015","50 - 54 years","Positive"," 420239.2"
"2015","55 - 59 years","Negative","1768942.3"
"2015","55 - 59 years","Positive"," 252646.7"
"2015","60 - 64 years","Negative","1423352.5"
"2015","60 - 64 years","Positive"," 129601.5"
"2015","65 - 69 years","Negative","1066163.39"
"2015","65 - 69 years","Positive","  54204.81"
"2015","70 - 74 years","Negative","745398.16"
"2015","70 - 74 years","Positive"," 17575.84"
"2015","75 - 79 years","Negative","555173.484"
"2015","75 - 79 years","Positive","  5389.716"
"2015","80 - 84 years","Negative","333166.66"
"2015","80 - 84 years","Positive","  1241.74"
"2015","85 - 89 years","Negative","179290.5372"
"2015","85 - 89 years","Positive","   272.5028"
"2015","90+ years","Negative","75423.83509"
"2015","90+ years","Positive","   51.36491"
"2016","0 years","Negative","1139325.866"
"2016","0 years","Positive","   6714.134"
"2016","1 years","Negative","1129162.01"
"2016","1 years","Positive","  11402.99"
"2016","2 years","Negative","1121415.93"
"2016","2 years","Positive","  15792.07"
"2016","3 years","Negative","1108425.43"
"2016","3 years","Positive","  17342.57"
"2016","4 years","Negative","1093488.55"
"2016","4 years","Positive","  17854.45"
"2016","5 - 9 years","Negative","5284629.3"
"2016","5 - 9 years","Positive"," 125074.7"
"2016","10 - 14 years","Negative","4556363.9"
"2016","10 - 14 years","Positive"," 143266.1"
"2016","15 - 19 years","Negative","4429678.7"
"2016","15 - 19 years","Positive"," 196485.3"
"2016","20 - 24 years","Negative","4517549.9"
"2016","20 - 24 years","Positive"," 524692.1"
"2016","25 - 29 years","Negative","4360994"
"2016","25 - 29 years","Positive"," 981286"
"2016","30 - 34 years","Negative","3709534"
"2016","30 - 34 years","Positive","1328886"
"2016","35 - 39 years","Negative","2793017"
"2016","35 - 39 years","Positive","1208396"
"2016","40 - 44 years","Negative","2493981.2"
"2016","40 - 44 years","Positive"," 942348.8"
"2016","45 - 49 years","Negative","2216349.1"
