"YEAR","viability","age_category","HIV","case_count"
2006,"Viable","25 - 29 years","Unknown",174
2006,"Viable","30 - 34 years","Negative",4
2006,"Viable","30 - 34 years","Positive",137
2006,"Viable","30 - 34 years","Unknown",235
2006,"Viable","35 - 39 years","Negative",8
2006,"Viable","35 - 39 years","Positive",111
2006,"Viable","35 - 39 years","Unknown",195
2006,"Viable","40 - 44 years","Negative",6
2006,"Viable","40 - 44 years","Positive",71
2006,"Viable","40 - 44 years","Unknown",149
2006,"Viable","45 - 49 years","Negative",3
2006,"Viable","45 - 49 years","Positive",27
2006,"Viable","45 - 49 years","Unknown",97
2006,"Viable","50 - 54 years","Negative",6
2006,"Viable","50 - 54 years","Positive",23
2006,"Viable","50 - 54 years","Unknown",83
2006,"Viable","55 - 59 years","Negative",5
2006,"Viable","55 - 59 years","Positive",18
2006,"Viable","55 - 59 years","Unknown",65
2006,"Viable","60 - 64 years","Negative",3
2006,"Viable","60 - 64 years","Positive",3
2006,"Viable","60 - 64 years","Unknown",45
2006,"Viable","65 - 69 years","Negative",1
2006,"Viable","65 - 69 years","Positive",3
2006,"Viable","65 - 69 years","Unknown",34
2006,"Viable","70 - 74 years","Positive",3
2006,"Viable","70 - 74 years","Unknown",24
2006,"Viable","75 - 79 years","Positive",1
2006,"Viable","75 - 79 years","Unknown",8
2006,"Viable","80 - 84 years","Unknown",13
2006,"Viable","85 - 89 years","Unknown",9
2006,"Viable","90 - 94 years","Unknown",1
2006,"Viable","95 - 99 years","Unknown",1
2006,"Viable","Unknown","Unknown",141
2007,"Audit","0 - 5 months","Negative",5
2007,"Audit","0 - 5 months","Positive",3
2007,"Audit","0 - 5 months","Unknown",81
2007,"Audit","6 - 11 months","Negative",2
2007,"Audit","6 - 11 months","Positive",2
2007,"Audit","6 - 11 months","Unknown",50
2007,"Audit","12 - 17 months","Negative",1
2007,"Audit","12 - 17 months","Unknown",28
2007,"Audit","18 - 23 months","Negative",1
2007,"Audit","18 - 23 months","Positive",2
2007,"Audit","18 - 23 months","Unknown",18
2007,"Audit","24 - 29 months","Negative",1
2007,"Audit","24 - 29 months","Positive",2
2007,"Audit","24 - 29 months","Unknown",10
2007,"Audit","30 - 35 months","Negative",1
2007,"Audit","30 - 35 months","Unknown",8
2007,"Audit","36 - 41 months","Negative",1
2007,"Audit","36 - 41 months","Unknown",5
2007,"Audit","42 - 47 months","Unknown",4
2007,"Audit","48 - 53 months","Positive",1
2007,"Audit","48 - 53 months","Unknown",9
2007,"Audit","54 - 59 months","Unknown",4
2007,"Audit","5 - 9 years","Positive",6
2007,"Audit","5 - 9 years","Unknown",42
2007,"Audit","10 - 14 years","Negative",1
2007,"Audit","10 - 14 years","Unknown",12
2007,"Audit","15 - 19 years","Positive",2
2007,"Audit","15 - 19 years","Unknown",12
2007,"Audit","20 - 24 years","Negative",1
2007,"Audit","20 - 24 years","Positive",2
2007,"Audit","20 - 24 years","Unknown",25
2007,"Audit","25 - 29 years","Positive",4
2007,"Audit","25 - 29 years","Unknown",61
2007,"Audit","30 - 34 years","Negative",1
2007,"Audit","30 - 34 years","Positive",10
2007,"Audit","30 - 34 years","Unknown",76
2007,"Audit","35 - 39 years","Negative",1
2007,"Audit","35 - 39 years","Positive",9
2007,"Audit","35 - 39 years","Unknown",75
2007,"Audit","40 - 44 years","Positive",6
2007,"Audit","40 - 44 years","Unknown",52
2007,"Audit","45 - 49 years","Positive",4
2007,"Audit","45 - 49 years","Unknown",42
2007,"Audit","50 - 54 years","Positive",4
2007,"Audit","50 - 54 years","Unknown",25
2007,"Audit","55 - 59 years","Unknown",13
